elapsed_sec,frame_ms,draw_calls
0.001,1.014,435
0.004,2.812,685
0.006,1.925,687
0.008,2.097,687
0.023,15.079,687
0.040,16.754,688
0.056,16.787,689
0.073,17.025,689
0.090,16.403,685
0.107,16.778,690
0.123,16.240,693
0.140,17.067,685
0.157,16.713,680
0.173,16.668,690
0.190,16.562,694
0.207,16.598,699
0.223,16.679,697
0.240,16.734,700
0.257,16.654,698
0.273,16.697,698
0.316,42.876,701
0.353,37.081,691
0.394,40.752,698
0.432,38.068,700
0.473,40.747,701
0.527,54.303,685
0.565,37.616,704
0.601,36.089,705
0.651,49.885,704
0.686,35.093,694
0.720,34.032,704
0.756,35.982,699
0.801,45.377,698
0.847,45.996,700
0.891,43.390,690
0.935,44.258,706
0.983,48.266,700
1.027,43.886,702
1.075,47.892,698
1.114,39.169,700
1.155,40.466,699
1.188,33.631,694
1.219,30.886,688
1.262,43.163,706
1.301,39.193,705
1.346,44.680,709
1.389,43.080,691
1.432,43.157,700
1.481,49.158,700
1.530,48.875,703
1.567,36.476,685
1.612,44.992,700
1.651,38.732,697
1.699,48.519,696
1.746,47.311,676
1.789,42.283,685
1.841,52.241,685
1.894,53.612,681
1.936,41.763,674
1.989,52.803,676
2.026,36.691,677
2.067,40.919,660
2.108,41.092,664
2.162,54.558,662
2.211,48.741,659
2.243,31.885,643
2.285,42.178,648
2.326,40.482,651
2.374,48.480,648
2.413,38.898,629
2.455,42.385,633
2.496,40.546,634
2.543,47.155,626
2.589,46.297,612
2.621,31.813,617
2.668,46.402,613
2.716,48.314,610
2.755,38.986,595
2.799,43.868,597
2.833,34.060,599
2.866,33.054,587
2.904,38.347,592
2.949,44.973,573
2.991,41.349,581
3.039,48.653,574
3.085,45.331,568
3.119,34.802,554
3.163,43.664,560
3.210,47.368,556
3.253,42.645,554
3.308,54.887,537
3.349,41.067,535
3.395,45.764,527
3.444,49.410,528
3.485,40.425,523
3.532,47.148,518
3.575,42.854,514
3.619,44.470,508
3.667,48.046,502
3.708,40.588,498
3.754,46.171,495
3.799,45.356,480
3.839,40.248,480
3.873,33.259,482
3.904,30.883,475
3.942,38.124,474
3.980,38.391,455
4.026,45.995,462
4.073,47.320,459
4.107,33.497,455
4.149,42.095,441
4.197,47.573,441
4.246,49.786,441
4.291,44.775,437
4.340,48.884,421
4.387,47.442,424
4.428,40.840,416
4.461,32.371,415
4.499,38.829,401
4.549,49.755,403
4.596,46.377,401
4.636,40.588,398
4.679,42.942,385
4.730,50.375,389
4.778,48.045,379
4.821,43.418,379
4.875,53.948,372
4.918,43.018,369
4.950,31.723,367
4.996,46.130,360
5.039,43.658,355
5.082,42.297,353
5.117,35.209,347
5.164,46.623,343
5.206,42.702,338
5.249,42.504,336
5.292,43.452,330
5.331,38.327,327
5.372,41.752,325
5.420,47.322,322
5.467,47.546,310
5.509,42.156,310
5.555,45.338,307
5.592,37.042,303
5.639,47.183,298
5.677,38.350,295
5.721,43.822,291
5.761,39.613,285
5.800,39.379,280
5.849,49.302,285
5.887,37.371,268
5.928,41.462,272
5.981,52.647,269
6.027,46.075,264
6.075,48.526,255
6.120,44.541,252
6.159,38.526,255
6.203,44.892,249
6.245,41.475,246
6.294,49.358,243
6.336,41.418,240
6.378,42.427,227
6.420,41.392,225
6.466,46.547,222
6.505,39.111,221
6.551,45.862,217
6.594,42.827,210
6.639,44.873,212
6.692,52.935,208
6.733,41.496,197
6.782,49.315,195
6.830,47.628,195
6.877,46.789,197
6.917,39.800,188
6.960,42.928,182
7.014,54.607,182
7.058,43.732,180
7.106,47.840,170
7.144,38.093,164
7.181,37.440,161
7.227,45.562,167
7.270,43.134,148
7.312,41.796,148
7.357,45.535,147
7.401,43.191,152
7.452,51.502,139
7.488,35.831,135
7.526,38.436,132
7.595,68.967,138
7.625,29.929,117
7.669,43.435,122
7.708,39.099,122
7.751,42.759,119
7.788,37.861,109
7.824,35.370,109
7.857,33.065,104
7.896,39.380,106
7.943,47.277,94
7.993,49.886,87
8.036,43.108,92
8.075,38.539,94
8.120,45.486,83
8.156,35.067,75
8.194,38.595,76
8.241,46.660,74
8.286,45.150,65
8.333,46.565,61
8.370,37.012,66
8.403,33.049,65
8.439,36.421,57
8.483,43.774,49
8.531,48.306,47
8.570,38.923,47
8.626,55.814,48
8.659,33.271,38
8.697,38.324,41
