key,value
meta/scenario,s2
meta/config,c2
meta/world,100x32x100
meta/seed,1337
build/populate_ms,49.7
build/cells,87280
build/houses,36
nav/build_ms,277.9
nav/points,11281
s2_warp1/frame_ms_avg,17.158
s2_warp1/frame_ms_p95,16.667
s2_warp1/frame_ms_worst,141.655
s2_warp1/draw_calls_max,1631
s2_warp1/frames,3498
s2_warp1/patch_usec_avg,479.9
s2_warp1/patch_usec_p95,704
s2_warp1/patch_usec_worst,994
s2_warp1/patch_usec_n,1200
s2_warp1/query_usec_avg,62.9
s2_warp1/query_usec_p95,35
s2_warp1/query_usec_worst,2839
s2_warp1/query_usec_n,2400
s2_warp1/deciding_pass_usec_avg,8375.1
s2_warp1/deciding_pass_usec_p95,10824
s2_warp1/deciding_pass_usec_worst,37316
s2_warp1/deciding_pass_usec_n,2400
s2_warp3/frame_ms_avg,30.462
s2_warp3/frame_ms_p95,83.333
s2_warp3/frame_ms_worst,146.669
s2_warp3/draw_calls_max,1627
s2_warp3/frames,1970
s2_warp3/patch_usec_avg,441.6
s2_warp3/patch_usec_p95,640
s2_warp3/patch_usec_worst,872
s2_warp3/patch_usec_n,3600
s2_warp3/query_usec_avg,43.0
s2_warp3/query_usec_p95,29
s2_warp3/query_usec_worst,2848
s2_warp3/query_usec_n,7200
s2_warp3/deciding_pass_usec_avg,7453.5
s2_warp3/deciding_pass_usec_p95,10241
s2_warp3/deciding_pass_usec_worst,37423
s2_warp3/deciding_pass_usec_n,7200
s3/unconnected_pair_2,1
s3/unconnected_pair_3,1
s3/unconnected_pair_5,1
s3/unconnected_pair_8,1
s3/unconnected_pair_19,1
s3/unconnected_pair_22,1
s3/unconnected_pair_24,1
s3/unconnected_pair_27,1
s3/unconnected_pair_32,1
s3/unconnected_pair_33,1
s3/unconnected_pair_37,1
s3/unconnected_pair_38,1
s3/unconnected_pair_39,1
s3/unconnected_pair_40,1
s3/unconnected_pair_46,1
s3/unconnected_pair_47,1
s3/unconnected_pair_49,1
s3/unconnected_pair_50,1
s3/unconnected_pair_51,1
s3/unconnected_pair_52,1
s3/unconnected_pair_54,1
s3/unconnected_pair_56,1
s3/unconnected_pair_63,1
s3/unconnected_pair_65,1
s3/unconnected_pair_71,1
s3/unconnected_pair_72,1
s3/unconnected_pair_76,1
s3/unconnected_pair_77,1
s3/unconnected_pair_81,1
s3/unconnected_pair_85,1
s3/unconnected_pair_86,1
s3/unconnected_pair_89,1
s3/unconnected_pair_90,1
s3/unconnected_pair_93,1
s3/unconnected_pair_96,1
s3/unconnected_pair_97,1
s3/unconnected_pair_99,1
s3/unconnected_pair_103,1
s3/unconnected_pair_106,1
s3/unconnected_pair_107,1
s3/unconnected_pair_112,1
s3/unconnected_pair_117,1
s3/unconnected_pair_124,1
s3/unconnected_pair_131,1
s3/unconnected_pair_133,1
s3/unconnected_pair_135,1
s3/unconnected_pair_136,1
s3/unconnected_pair_140,1
s3/unconnected_pair_142,1
s3/unconnected_pair_143,1
s3/unconnected_pair_144,1
s3/unconnected_pair_145,1
s3/unconnected_pair_146,1
s3/unconnected_pair_151,1
s3/unconnected_pair_153,1
s3/unconnected_pair_157,1
s3/unconnected_pair_161,1
s3/unconnected_pair_164,1
s3/unconnected_pair_165,1
s3/unconnected_pair_169,1
s3/unconnected_pair_173,1
s3/unconnected_pair_176,1
s3/unconnected_pair_178,1
s3/unconnected_pair_179,1
s3/unconnected_pair_180,1
s3/unconnected_pair_182,1
s3/unconnected_pair_186,1
s3/unconnected_pair_189,1
s3/unconnected_pair_190,1
s3/unconnected_pair_196,1
s3/unconnected_pair_197,1
s3/query_bench_usec_avg,460.3
s3/query_bench_usec_p95,1877
s3/query_bench_usec_worst,2200
s3/query_bench_usec_n,200
meta/mem_static_mb,99.7
