key,value
meta/scenario,s1
meta/config,c2
meta/world,100x32x100
meta/seed,1337
build/populate_ms,49.4
build/cells,87280
build/houses,36
s1_near/frame_ms_avg,16.682
s1_near/frame_ms_p95,16.728
s1_near/frame_ms_worst,18.056
s1_near/draw_calls_max,1598
s1_near/frames,900
s1_far/frame_ms_avg,16.684
s1_far/frame_ms_p95,16.667
s1_far/frame_ms_worst,24.154
s1_far/draw_calls_max,1390
s1_far/frames,900
s1_full/frame_ms_avg,16.684
s1_full/frame_ms_p95,16.667
s1_full/frame_ms_worst,24.217
s1_full/draw_calls_max,774
s1_full/frames,900
meta/mem_static_mb,90.5
