key,value
meta/scenario,s1
meta/config,size500
meta/world,500x32x500
meta/seed,1337
build/populate_ms,1923.2
build/cells,2223114
build/houses,1225
s1_near/frame_ms_avg,16.667
s1_near/frame_ms_p95,16.667
s1_near/frame_ms_worst,16.719
s1_near/draw_calls_max,9219
s1_near/frames,900
s1_far/frame_ms_avg,16.666
s1_far/frame_ms_p95,16.666
s1_far/frame_ms_worst,16.666
s1_far/draw_calls_max,9689
s1_far/frames,901
s1_full/frame_ms_avg,28.033
s1_full/frame_ms_p95,29.167
s1_full/frame_ms_worst,35.681
s1_full/draw_calls_max,16229
s1_full/frames,536
meta/mem_static_mb,1086.6
meta/mdpt,4
